roll_number,ranking,schoolname,address1,county,schooltype,pupils,latitude,longitude,ed_id,ed_english
08379V,NULL,GORTANUMERA N S,Ballyshrule,Galway,primary,52,53.1125288,-8.2878757,67188,PORTUMNA
08390J,NULL,MASTERSONS N S,Church Lane,Leitrim,primary,22,54.3051287,-8.1728495,117063,MANORHAMILTON
08393P,NULL,S N RATH DUBH,Rathduff,Cork,primary,269,52.0167102,-8.5831059,47053,BLACKPOOL
08419H,NULL,ARDPATRICK N S,Ardpatrick,Limerick,primary,64,52.3434276,-8.5188954,127008,ARDPATRICK
08430S,NULL,SCOIL NAOMH SEOSAMH,Gortnaclohy,Cork,primary,199,51.5489214,-9.2457269,47293,SKIBBEREEN RURAL
08446K,NULL,SN TULLACH UI CHADHAIN,Tulach Uí Chadhain,Galway,primary,69,53.3387481,-9.1814776,67213,TULLOKYNE
08453H,NULL,S N CRUABANAI,Crubany,Cavan,primary,215,53.9637748,-7.3229896,27072,MOYNEHALL
08490N,NULL,ST CLARES PRIMARY SCHOOL,Ard Mhuire,Cavan,primary,534,53.9924444,-7.3565801,27025,CAVAN URBAN
08512U,NULL,IOMAIR N S,Killimor,Galway,primary,113,53.159153,-8.2017784,67208,TIRANASCRAGH
08530W,NULL,LAURAGH NATIONAL SCHOOL,Lauragh Lower,Kerry,primary,11,51.7640706,-9.7774158,77081,GLANMORE
08572P,NULL,BRUREE NATIONAL SCHOOL,Bruree,Limerick,primary,181,52.4228841,-8.6491696,127032,BRUREE
08673V,NULL,THE HUNT N S,Castle Street,Leitrim,primary,33,53.9226451,-7.8650864,117066,MOHILL
08687J,NULL,S N MUIRE GAN SMAL,Coars,Kerry,primary,20,51.9404602,-10.1117716,77009,BAHAGHS
08791E,NULL,LISSIVIGEEN MXD N S,Lissivigeen,Kerry,primary,289,52.0511318,-9.4588459,77101,KILLARNEY RURAL
08828B,NULL,KILCORNEY MIXED N S,Kilcorney,Cork,primary,44,52.0941821,-8.9734088,47276,RATHCOOL
08926B,NULL,ST NICHOLAS CHURCH OF IRELAND SCHOO,Blackabbey,Limerick,primary,69,52.567839,-8.784765,127005,ADARE SOUTH
08948L,NULL,MILLTOWN N S,Monea,Cavan,primary,132,54.0648764,-7.4752867,27071,MILLTOWN
08972I,NULL,CASTLEALACK N S,Castlelack,Cork,primary,58,51.7803174,-8.7394361,47058,BRINNY
09009Q,NULL,ROCKFIELD N S,Rockfield National School,Donegal,primary,43,54.4831575,-8.1192776,57024,CARRICKBOY
09040K,NULL,NEWTOWNWHITE Educate Together NS,Ballysakeery,Mayo,primary,55,54.1869044,-9.1795375,157030,BALLYSAKEERY
09069L,NULL,S N AN BHAIN MHOIR,Cloghaun,Galway,primary,160,53.3762503,-8.944668,67165,LISCANANAUN
09132P,NULL,CARNANE MXD N S,Carnane,Limerick,primary,49,52.5712485,-8.5811768,127069,FEDAMORE
09161W,NULL,OUR LADY OF MERCY N S,Summerhill,Cork,primary,238,51.6789948,-9.4437041,47042,BANTRY URBAN
09184L,NULL,SHIELBEGGAN CONVENT,Shielbaggan,Wexford,primary,42,52.2621221,-6.8810477,247098,RATHROE
09186P,NULL,SCOIL MHUIRE,Magherarney,Monaghan,primary,108,54.2166118,-7.1119168,NULL,NULL
09190G,NULL,BOHER N S,Boher,Tipperary,primary,121,52.8020412,-8.3675674,217117,LACKAGH
09191I,NULL,GEASHILL 1 N S,Geashill,Offaly,primary,128,53.234317,-7.3225923,187042,GEASHILL
09209B,NULL,CASTLEDRUM N S,Castledrum,Kerry,primary,103,52.1742552,-9.7718559,77031,BOOLTEENS
09238I,NULL,BALLINLOUGH N S,Ballinlough,Meath,primary,77,53.7323416,-7.028203,167007,BALLINLOUGH
09260B,NULL,S N LIOS TEILIC,Listellick,Kerry,primary,220,52.2981973,-9.6944455,77067,DOON
09296W,NULL,OUR LADYS ABBEY,Blackabbey,Limerick,primary,147,52.5655422,-8.7878649,127005,ADARE SOUTH
09302O,NULL,GLENFLESK N S,Glenflesk,Kerry,primary,34,51.9948179,-9.3131602,77033,BREWSTERFIELD
09304S,NULL,RAHEEN NATIONAL SCHOOL,Raheen,Kerry,primary,36,52.0875478,-9.3662793,77087,HEADFORT
09306W,NULL,CROOM NATIONAL SCHOOL,High Street,Limerick,primary,172,52.5209825,-8.7132966,127054,CROOM
09320Q,NULL,SCOIL NAIS MHUIRE,Drumphea,Carlow,primary,73,52.661413,-6.8371316,17019,GARRYHILL
09353I,NULL,NEWTOWNGORE N S 1,Mullyaster,Leitrim,primary,26,54.0366588,-7.6811459,117068,NEWTOWNGORE
09390O,NULL,ROCKMOUNT MIXED N S,Rockmount,Clare,primary,29,52.8687078,-9.3471603,37013,BALLYVASKIN
