roll_number,gaeltacht_indicator,deis,island,irish_classification,ethos
17514C,N ,N ,N ,No subjects through Irish,Catholic
18242A,N ,N ,N ,No subjects through Irish,Catholic
20258E,N ,N ,N ,All subjects through Irish,Multi Denominational
18057F,N ,N ,N ,No subjects through Irish,Catholic
00856M,N ,Y ,N ,No subjects through Irish,Catholic
17734Q,N ,Y ,N ,No subjects through Irish,Catholic
20545H,N ,Y ,N ,Some subjects through Irish,Catholic
20129Q,N ,N ,N ,No subjects through Irish,Catholic
04054T,N ,N ,N ,No subjects through Irish,Catholic
20001N,N ,N ,N ,All subjects through Irish,Catholic
01197D,N ,Y ,N ,No subjects through Irish,Catholic
08673V,N ,N ,N ,No subjects through Irish,Church Of Ireland
71450I,N ,Y ,N ,No subjects taught through Irish,MULTI DENOMINATIONAL
20141G,N ,N ,N ,No subjects through Irish,Catholic
20546J,N ,N ,N ,No subjects through Irish,Multi Denominational
91500J,N ,N ,N ,No subjects taught through Irish,INTER DENOMINATIONAL
14111L,N ,N ,N ,No subjects through Irish,Catholic
62200H,N ,N ,N ,No subjects taught through Irish,CATHOLIC
08687J,N ,Y ,N ,No subjects through Irish,Catholic
19488O,N ,Y ,N ,No subjects through Irish,Catholic
76065H,N ,N ,N ,All pupils taught all subjects through Irish,MULTI DENOMINATIONAL
18336J,N ,N ,N ,No subjects through Irish,Catholic
12631E,N ,N ,N ,No subjects through Irish,Catholic
64640W,N ,N ,N ,No subjects taught through Irish,CATHOLIC
72440K,N ,N ,N ,Some pupils taught some subjects through Irish,MULTI DENOMINATIONAL
11976K,N ,N ,N ,No subjects through Irish,Catholic
07455G,N ,Y ,N ,No subjects through Irish,Catholic
20096E,N ,N ,N ,All subjects through Irish,Inter Denominational
17561L,N ,N ,N ,No subjects through Irish,Catholic
14987H,Y ,N ,N ,All subjects through Irish,Catholic
62692I,N ,N ,N ,No subjects taught through Irish,CATHOLIC
14972R,N ,N ,N ,No subjects through Irish,Church Of Ireland
09537S,N ,N ,N ,No subjects through Irish,Catholic
91336W,N ,N ,N ,No subjects taught through Irish,INTER DENOMINATIONAL
16823K,Y ,Y ,N ,No subjects through Irish,Catholic
19274S,N ,N ,N ,No subjects through Irish,Catholic
18357R,N ,N ,N ,No subjects through Irish,Catholic
19510E,N ,Y ,N ,No subjects through Irish,Catholic
12292I,N ,N ,N ,No subjects through Irish,Catholic
07518E,N ,N ,N ,No subjects through Irish,Catholic
91513S,N ,N ,N ,Some pupils taught all subjects through Irish,INTER DENOMINATIONAL
17118R,N ,N ,N ,No subjects through Irish,Catholic
19171I,N ,N ,N ,No subjects through Irish,Catholic
18379E,N ,N ,N ,No subjects through Irish,Catholic
12147W,N ,N ,N ,No subjects through Irish,Catholic
20388R,N ,N ,N ,Some subjects through Irish,Catholic
16435B,N ,N ,N ,No subjects through Irish,Catholic
09184L,N ,N ,N ,No subjects through Irish,Catholic
20427B,N ,Y ,N ,No subjects through Irish,Catholic
16377N,N ,N ,N ,No subjects through Irish,Catholic
11262R,N ,Y ,N ,No subjects through Irish,Catholic
17093E,N ,N ,N ,No subjects through Irish,Catholic
18624O,N ,N ,N ,No subjects through Irish,Catholic
20349H,N ,N ,N ,No subjects through Irish,Catholic
18518P,N ,N ,N ,No subjects through Irish,Catholic
19232C,N ,N ,N ,No subjects through Irish,Catholic
17060M,N ,N ,N ,No subjects through Irish,Catholic
15870O,N ,N ,N ,No subjects through Irish,Catholic
60581M,N ,Y ,N ,No subjects taught through Irish,CATHOLIC
19472W,N ,N ,N ,No subjects through Irish,Catholic
60710U,N ,N ,N ,No subjects taught through Irish,CATHOLIC
14303U,Y ,Y ,Y ,All subjects through Irish,Catholic
18679Q,N ,N ,N ,No subjects through Irish,Catholic
13730L,N ,N ,N ,No subjects through Irish,Catholic
09642P,N ,N ,N ,No subjects through Irish,Church Of Ireland
60792C,N ,Y ,N ,No subjects taught through Irish,CATHOLIC
05627W,N ,N ,N ,No subjects through Irish,Church Of Ireland
91497A,N ,N ,N ,No subjects taught through Irish,INTER DENOMINATIONAL
17465P,N ,Y ,N ,No subjects through Irish,Catholic
15816I,N ,Y ,N ,No subjects through Irish,Catholic
14829M,N ,N ,N ,No subjects through Irish,Catholic
19425N,N ,Y ,N ,No subjects through Irish,Catholic
61830M,N ,N ,N ,No subjects taught through Irish,CATHOLIC
19730S,N ,N ,N ,No subjects through Irish,Catholic
18040L,N ,N ,N ,No subjects through Irish,Catholic
20465J,N ,N ,N ,No subjects through Irish,Catholic
18329M,N ,N ,N ,No subjects through Irish,Catholic
19951L,N ,N ,N ,No subjects through Irish,Catholic
71230R,N ,Y ,N ,No subjects taught through Irish,MULTI DENOMINATIONAL
20333P,N ,N ,N ,No subjects through Irish,Multi Denominational
20025E,N ,N ,N ,All subjects through Irish,Catholic
19252I,N ,Y ,N ,No subjects through Irish,Catholic
02452V,N ,N ,N ,No subjects through Irish,Catholic
17235V,N ,N ,N ,No subjects through Irish,Catholic
63171I,N ,N ,N ,No subjects taught through Irish,CATHOLIC
18713N,N ,N ,N ,No subjects through Irish,Catholic
13882L,Y ,Y ,N ,Some subjects through Irish,Catholic
19294B,N ,N ,N ,No subjects through Irish,Catholic
65370B,N ,N ,N ,No subjects taught through Irish,CATHOLIC
04515G,N ,Y ,N ,No subjects through Irish,Catholic
60042F,N ,N ,N ,All pupils taught all subjects through Irish,CATHOLIC
76213T,N ,N ,N ,No subjects taught through Irish,MULTI DENOMINATIONAL
19275U,N ,N ,N ,No subjects through Irish,Catholic
