id06,county,ed_english,pop2016,hpindex2016,edhigh,hlprof,larent,unemploy
6041,Kildare,STRAFFAN,2035,6.64909407,46.20691192,53.26781327,1.53298224,5.03804973
6042,Kildare,BALLYNADRUMNY,576,-7.38755067,27.50875314,31.94444444,1.93469786,12.40745925
6043,Kildare,CADAMSTOWN,1414,1.67501403,39.00456879,46.74681754,2.97817854,8.07863583
6044,Kildare,CARBURY,1913,-10.13307411,20.62690723,29.6915839,11.20319523,17.0610014
6045,Kildare,CARRICK,290,0.66582484,31.90184049,44.48275862,0.00E+00,5.71428571
6046,Kildare,CLONCURRY,399,-5.31161207,27.16049383,43.35839599,0.00E+00,13.20754717
6047,Kildare,DREHID,270,-0.85724562,37.1257485,39.25925926,0.00E+00,7.14285714
6048,Kildare,DUNFIERTH,733,-2.47841317,32.45236556,40.65484311,0.43851101,10.70439709
6049,Kildare,KILLINTHOMAS,331,-3.00102873,33.00492611,42.90030211,0.00E+00,11.49425287
6050,Kildare,KILPATRICK,871,-15.32269729,15.89862738,20.5510907,3.80414998,19.1275764
6051,Kildare,KILRAINY,753,-5.00695462,29.79768885,34.52855246,9.49289263,13.86724055
6052,Kildare,LULLYMORE,187,-5.05931681,28.44827586,42.2459893,0.00E+00,11.11111111
6053,Kildare,RATHANGAN,2508,-6.06372485,26.76364104,31.81818182,12.7101862,14.4942884
6054,Kildare,THOMASTOWN,929,-0.47468046,31.47891791,43.27233584,1.54088576,7.50466965
6055,Kildare,WINDMILL CROSS,1182,-11.05652719,19.12490676,28.17258883,2.34277096,13.15980115
