S-ID,Address Line 1,County,Lat (WGS84 GPS),Long (WGS84 GPS)
10755M,Baile an Fheirtéaraigh,Kerry,52.16615,-10.40599
10763L,Boston,Clare,53.0311572,-8.9314536
10771K,Bellevue,Cork,51.85200510000001,-8.2871191
10775S,Knockanure,Kerry,52.46585,-9.37081
10780L,Ballyoughter,Wexford,52.6150252,-6.3733236
10801Q,Drumbaragh,Meath,53.72618860000001,-6.9407333
10835K,Kilkenny Street,Kilkenny,52.8028483,-7.2099428
10857U,Pakenhamhall Road,Westmeath,53.67951,-7.304310000000001
10863P,Kilglass,Galway,53.4150181,-8.349777099999999
10886E,Tubber,Clare,52.9905351,-8.8942661
10929T,Church Street,Limerick,52.518783299999996,-8.9448259
10957B,The Village,Kerry,52.4000795,-9.6168595
10967E,Trien,Roscommon,53.732394799999994,-8.5524374
10991B,Garrydoolis,Limerick,52.508177,-8.3359322
11039O,Kilbeg,Meath,53.791012699999996,-6.8032185
11067T,Duagh,Kerry,52.4133363,-9.387972300000001
11072M,Bolton Street,Louth,53.7172225,-6.354903299999999
11135K,Dunleckney,Carlow,52.70981379999999,-6.9484302
11201U,Scrabbagh,Roscommon,999.0,999.0
11203B,Clareen,Offaly,53.06966679999999,-7.785869099999999
11205F,Main Street,Cavan,54.013363899999995,-7.527651799999999
11234M,Cree,Clare,52.7619701,-9.3901275
11236Q,West End,Cork,52.214487299999995,-9.0037442
11242L,Cloonbonniffe,Roscommon,53.7812718,-8.5822179
11245R,Kilmacabea,Cork,57.394704000000004,-3.4499949
11248A,Glin South,Kerry,52.175202500000005,-10.2871726
11249C,Burnfort,Cork,52.0672808,-8.5978455
11261P,An Tuairín,Galway,53.3049655,-9.594714100000001
11262R,Dromina,Cork,52.314007700000005,-8.8021272
11280T,Carrickerry,Limerick,52.4924934,-9.148833400000001
11290W,Camus,Galway,53.27066800000001,-9.0567905
11307N,Ballyguiltenane Upper,Limerick,52.535169999999994,-9.274389999999999
11337W,Kilmagner,Cork,52.124530299999996,-8.170517599999998
11361T,99 The Faythe,Wexford,52.3310718,-6.4541107
11363A,Kilcummin,Kerry,52.05993529999999,-9.5044265
11367I,Nenagh,Tipperary,52.882042299999995,-8.3539647
11372B,Ballynacarrig,Wicklow,52.9015603,-6.050578
11373D,Turlach Beag,Galway,53.3397736,-9.629967
11380A,Caim,Wexford,52.5121081,-6.6796887
11384I,Gortagarry,Tipperary,52.8207157,-7.9788458
11405N,Faha,Kerry,52.10609829999999,-9.6418135
11409V,Church Street,Cavan,54.1173001,-7.586307400000001
11419B,Portmagee,Kerry,51.88466270000001,-10.3684657
11422N,Main Street,Limerick,52.4309324,-9.009584199999999
11453B,Coalbrook,Tipperary,52.611875899999994,-7.5864966
11466K,Ballyline,Roscommon,53.484687300000004,-8.1119678
11470B,Kyleballygalvan,Tipperary,52.625066700000005,-7.544581599999999
11496T,Newtownshandrum,Cork,52.3454633,-8.767827
11517B,Farnham Street,Cavan,53.990240500000006,-7.3628172
11525A,Millbourne Avenue,Dublin,53.37016929999999,-6.2582575
11541V,Drumelis,Cavan,54.001917399999996,-7.389211200000001
11578V,City Quay,Dublin,53.346695700000005,-6.2509863
