id06,ed_english,pop2016,hpindex2016,unemploy,larent,hlprof
18266,COOMLOGANE,905,-6.10432318,11.60419197,3.32317267,36.02209945
18267,CRINNALOO,207,-4.33666237,5,0.00E+00,39.61352657
18268,CULLEN,423,-5.59993861,7.12174941,6.31085467,24.11347518
18269,DERRAGH,215,-0.7463049,5.55555556,0.00E+00,50.69767442
18270,DOONASLEEN,474,-7.01868739,11.16930986,0.60277275,37.97468354
18271,DRISHANE,1955,-4.00314597,7.84237873,6.67158793,25.98465473
18272,KEALE,349,0.74945112,5.50143266,1.9030113,35.53008596
18273,KILCORNEY,337,-8.62602376,13.97849462,8.26446281,29.97032641
18274,KNOCKNAGREE,598,-2.39291967,3.67554034,4.10222239,27.9264214
18275,RATHCOOL,554,-3.2161777,6.53341551,4.4276039,34.65703971
18276,SKAGH,374,-2.7743504,11.37833476,3.77591858,41.71122995
18277,BALLYARTHUR,308,-0.54519018,3.79746835,0.00E+00,40.58441558
18278,DERRYVILLANE,492,-2.14191586,11.63513271,2.33632863,38.00813008
18279,FARAHY,443,-9.84016459,10.20966517,1.52138285,30.47404063
18280,KILDORRERY,744,2.66842754,5.62460468,3.42027166,36.69354839
18281,KILGULLANE,152,1.29489277,10.86956522,1.96078431,56.57894737
18282,KILPHELAN,516,-5.96217992,10.53803539,3.41257537,36.04651163
18283,MARSHALSTOWN,387,3.19899441,5.35714286,1.57480315,37.72609819
18284,MITCHELSTOWN,5135,-8.76479951,15.02224511,13.14084606,26.38753651
18285,TEMPLEMOLAGA,307,-1.49200988,6.48148148,1.7699115,40.39087948
18286,AGHADOWN NORTH,288,-2.555207,5.40540541,0.98039216,35.41666667
18287,AGHADOWN SOUTH,574,-0.79904511,6.37312081,2.14874345,34.49477352
18288,BREDAGH,582,-5.38280009,10.3750485,6.17909344,30.58419244
18289,CAHERAGH,311,-11.62615859,13.0952381,0.00E+00,34.08360129
18290,CAPE CLEAR,342,2.62616871,7.56208153,4.03759398,39.18128655
18291,CARRIGBAUN,344,-4.73785537,5.65096631,2.87174066,35.1744186
18292,CASTLEHAVEN NORTH,806,0.7666913,5.05107048,2.45332402,40.19851117
18293,CASTLEHAVEN SOUTH,498,-3.37858233,13.07181105,0.51762606,38.35341365
18294,CLOGHDONNELL,354,-2.69951214,13.72881356,2.42503259,35.02824859
18295,CLOONKEEN,348,-4.92552132,9.39674287,1.54351396,33.04597701
18296,DRINAGH,360,-5.56751997,7.55991285,1.60033167,27.22222222
18297,DROMDALEAGUE NORTH,295,-9.82564886,13.0952381,4.34782609,32.20338983
18298,DROMDALEAGUE SOUTH,630,-6.73081229,7.22989856,6.34409672,27.3015873
18299,GARRANES,351,-6.90285156,9.27643671,0.68769034,29.91452991
18300,GORTNASCREENY,502,-4.66126674,7.75061592,0.55587175,34.46215139
18301,KILFAUGHNABEG,538,-5.94217892,11.7130191,11.68471092,35.68773234
18302,KILLEENLEAGH,365,-0.19505068,4.47984344,0.82191781,37.53424658
18303,KNOCKSKAGH,544,-2.40360033,10.81615909,2.17344291,34.19117647
18304,MYROSS,747,-0.4414746,8.50966867,5.09269653,42.1686747
18305,SHREELANE,378,-1.20720216,6.14999855,1.66940339,37.83068783
18306,SKIBBEREEN RURAL,1300,-1.56211675,6.39429676,0.70410858,39.38461538
18307,TULLAGH,738,1.32962376,5.51344266,6.06316003,40.78590786
18308,WOODFORT,374,-5.56128346,11.10149942,0.00E+00,34.49197861
18309,BALLYBANE,267,-2.11495255,11.13190536,0.91216624,36.70411985
18310,BALLYDEHOB,846,-3.4745423,8.56251813,5.92792196,32.74231678
18311,COOLAGH,191,-10.10204733,20.45454545,0.00E+00,40.83769634
18312,CROOKHAVEN,225,-0.58422231,6.50406504,0.00E+00,36.88888889
18313,DUNBEACON,173,-6.06875551,14.28571429,0.00E+00,34.10404624
18314,DUNMANUS,238,-4.62786859,9.43396226,0.00E+00,34.87394958
18315,GOLEEN,229,-8.79228426,9.76891415,9.72828724,28.38427948
18316,KILCOE,441,0.58177595,5.27861418,0.00E+00,42.17687075
18317,LOWERTOWN,228,1.70282244,6.41414141,1.22345337,44.73684211
18318,SKULL,1053,-2.31539418,8.7052972,5.68479059,33.61823362
18319,TOORMORE,186,-3.4624133,6.09384883,0.00E+00,32.25806452
18320,ARDAGH,667,-2.47090681,8.70121258,0.88724233,37.78110945
18321,CLONPRIEST,1073,-2.6563221,7.51253878,1.19510927,35.88070829
18322,KILCRONAT,181,-2.2801335,8.16326531,0.00E+00,32.0441989
18323,KILLEAGH,1539,-0.6311225,9.65771496,8.22811319,38.3365822
18324,KILMACDONOGH,954,-2.89296574,9.21155653,2.71010113,36.37316562
18325,YOUGHAL RURAL (PT.),1264,-2.94622166,10.93088216,3.09104614,40.66455696
18701,Bantry Rural/Whiddy,1091,-2.76701573,10.18181818,1.00755668,39.23006416
19001,KILLARNEY URBAN,10826,-0.61670363,8.66974407,6.83019863,26.57491225
19002,LISTOWEL URBAN,4260,-11.96108982,26.7739745,18.94702948,25.5399061
19003,TRALEE URBAN DISTRICT,4954,-14.14726447,31.29787956,18.88114316,18.005652
19004,BAHAGHS,197,-4.18313973,6.77966102,2.7027027,41.11675127
19005,BALLINSKELLIGS,390,-5.22372043,16.14252319,3.25227611,39.74358974
19006,BALLYBRACK,83,-0.99490748,8.69565217,3.03030303,50.60240964
19007,CAHER,1823,-8.76190137,13.52845166,11.29590647,28.63411958
