G-ID,Station,Division
20702,Newport Co Tipperary, Tipperary Division
20623,Newtowncunningham, Donegal Division
20202,Newtownmountkennedy, Wicklow Division
2063,Nobber, Meath Division
2062,Oldcastle, Meath Division
2056,Omeath, Louth Division
20286,Oola, Limerick Division
20498,Oughterard, Galway Division
20190,Oulart, Wexford Division
20189,Oylegate, Wexford Division
20437,Pallasgreen, Limerick Division
20425,Pallaskenry, Limerick Division
20555,Partry, Mayo Division
20209,Passage East, Waterford Division
20297,Passage West, Cork City Division
20420,Patrickswell, Limerick Division
201,Pearse Street, D.M.R. South Central Division
20659,Pettigo, Donegal Division
20257,Piltown, Kilkenny/Carlow Division
20114,Portarlington, Laois/Offaly Division
20111,Portlaoise, Laois/Offaly Division
20224,Portlaw, Waterford Division
20391,Portmagee, Kerry Division
20269,Portroe, Tipperary Division
20496,Portumna, Galway Division
2026,Raheny, D.M.R. Northern Division
20644,Ramelton, Donegal Division
20624,Raphoe, Donegal Division
20151,Rathangan, Kildare Division
2014,Rathcoole, D.M.R. Western Division
20313,Rathcormac Co Cork, Cork North Division
20120,Rathdowney, Laois/Offaly Division
20201,Rathdrum, Wicklow Division
2015,Rathfarnham, D.M.R. Southern Division
20225,Rathgormack, Waterford Division
20430,Rathkeale, Limerick Division
2017,Rathmines, D.M.R. Southern Division
20376,Rathmore Co Kerry, Kerry Division
20645,Rathmullen, Donegal Division
20170,Rathvilly, Kilkenny/Carlow Division
20139,Rhode, Laois/Offaly Division
20602,Riverstown, Sligo/Leitrim Division
20147,Robertstown, Kildare Division
2086,Rochfortbridge, Westmeath Division
20674,Rockcorry, Cavan/Monaghan Division
2013,Ronanstown, D.M.R. Western Division
20611,Roosky, Roscommon/Longford Division
20501,Ros Muc, Galway Division
20514,Roscommon, Roscommon/Longford Division
20274,Roscrea, Tipperary Division
20354,Rosscarbery, Cork West Division
20597,Rosses Point, Sligo/Leitrim Division
20179,Rosslare Harbour, Wexford Division
20178,Rosslare Strand, Wexford Division
20204,Roundwood, Wicklow Division
20419,Roxboro Road, Limerick Division
2019,Santry, D.M.R. Northern Division
20464,Scariff, Clare Division
20344,Schull, Cork West Division
20666,Scotstown, Cavan/Monaghan Division
2042,Shankill, D.M.R. Eastern Division
20452,Shannon, Clare Division
20685,Shercock, Cavan/Monaghan Division
20278,Shevry, Tipperary Division
20167,Shillelagh, Wicklow Division
20131,Shinrone, Laois/Offaly Division
20578,Shrule, Mayo Division
20454,Sixmilebridge, Clare Division
2073,Skerries, D.M.R. Northern Division
20355,Skibbereen, Cork West Division
20594,Skreen, Sligo/Leitrim Division
2082,Slane, Meath Division
20592,Sligo, Sligo/Leitrim Division
20106,Smear, Roscommon/Longford Division
20394,Sneem, Kerry Division
20484,Sraith Salach, Galway Division
20237,Stoneyford, Kilkenny/Carlow Division
2032,Store Street, D.M.R. North Central Division
20115,Stradbally Co Laois, Laois/Offaly Division
20517,Strokestown, Roscommon/Longford Division
20362,Stuake, Cork West Division
2070,Summerhill, Meath Division
208,Sundrive Road, D.M.R. Southern Division
20692,Swanlinbar, Cavan/Monaghan Division
20580,Swinford, Mayo Division
2025,Swords, D.M.R. Northern Division
20173,Taghmon, Wexford Division
2016,Tallaght, D.M.R. Southern Division
20215,Tallow, Waterford Division
20413,Tarbert, Kerry Division
20368,Tarelton, Cork West Division
20527,Taughmaconnell, Roscommon/Longford Division
20276,Templederry, Tipperary Division
20272,Templemore, Tipperary Division
20273,Templetuohy, Tipperary Division
2018,Terenure, D.M.R. Southern Division
20234,Thomastown, Kilkenny/Carlow Division
20243,Thurles, Tipperary Division
20342,Timoleague, Cork West Division
20168,Tinahely, Wicklow Division
20280,Tipperary, Tipperary Division
20292,Togher, Cork City Division
20270,Toomevara, Tipperary Division
20379,Tralee, Kerry Division
20220,Tramore, Waterford Division
2064,Trim, Meath Division
20543,Tuam, Galway Division
20600,Tubbercurry, Sligo/Leitrim Division
20466,Tulla, Clare Division
20134,Tullamore, Laois/Offaly Division
20156,Tullow, Kilkenny/Carlow Division
20536,Tulsk, Roscommon/Longford Division
20249,Urlingford, Kilkenny/Carlow Division
20687,Virginia, Cavan/Monaghan Division
20300,Watercourse Road, Cork City Division
20206,Waterford, Waterford Division
20311,Watergrasshill, Cork North Division
20586,Westport, Mayo Division
20172,Wexford, Wexford Division
20331,Whitegate, Cork North Division
20199,Wicklow, Wicklow Division
20544,Williamstown, Galway Division
20493,Woodford, Galway Division
20332,Youghal, Cork North Division
