G-ID,Crime,Total (2004 to 2015)
2054,Kidnapping and related offences,0
2054,"Offences against government, justice procedures and organisation of crime",26
2054,Public order and other social code offences,52
2054,"Robbery, extortion and hijacking offences",9
2054,Theft and related offences,251
2054,Weapons and Explosives Offences,5
2055,"Attempts or threats to murder, assaults, harassments and related offences",110
2055,Burglary and related offences,243
2055,Controlled drug offences,28
2055,Damage to property and to the environment,358
2055,Dangerous or negligent acts,78
2055,"Fraud, deception and related offences",42
2055,Kidnapping and related offences,0
2055,"Offences against government, justice procedures and organisation of crime",17
2055,Public order and other social code offences,152
2055,"Robbery, extortion and hijacking offences",15
2055,Theft and related offences,645
2055,Weapons and Explosives Offences,52
2056,"Attempts or threats to murder, assaults, harassments and related offences",38
2056,Burglary and related offences,137
2056,Controlled drug offences,14
2056,Damage to property and to the environment,236
2056,Dangerous or negligent acts,33
2056,"Fraud, deception and related offences",12
2056,Kidnapping and related offences,0
2056,"Offences against government, justice procedures and organisation of crime",10
2056,Public order and other social code offences,112
2056,"Robbery, extortion and hijacking offences",7
2056,Theft and related offences,319
2056,Weapons and Explosives Offences,6
2057,"Attempts or threats to murder, assaults, harassments and related offences",68
2057,Burglary and related offences,183
2057,Controlled drug offences,8
2057,Damage to property and to the environment,171
2057,Dangerous or negligent acts,55
2057,"Fraud, deception and related offences",12
2057,Kidnapping and related offences,1
2057,"Offences against government, justice procedures and organisation of crime",16
2057,Public order and other social code offences,73
2057,"Robbery, extortion and hijacking offences",6
2057,Theft and related offences,291
2057,Weapons and Explosives Offences,6
2058,"Attempts or threats to murder, assaults, harassments and related offences",642
2058,Burglary and related offences,721
2058,Controlled drug offences,292
2058,Damage to property and to the environment,937
2058,Dangerous or negligent acts,505
2058,"Fraud, deception and related offences",173
2058,Kidnapping and related offences,2
2058,"Offences against government, justice procedures and organisation of crime",170
2058,Public order and other social code offences,1235
2058,"Robbery, extortion and hijacking offences",24
2058,Theft and related offences,1722
2058,Weapons and Explosives Offences,67
2060,"Attempts or threats to murder, assaults, harassments and related offences",263
2060,Burglary and related offences,325
2060,Controlled drug offences,76
2060,Damage to property and to the environment,339
2060,Dangerous or negligent acts,119
2060,"Fraud, deception and related offences",33
2060,Kidnapping and related offences,1
2060,"Offences against government, justice procedures and organisation of crime",21
2060,Public order and other social code offences,421
2060,"Robbery, extortion and hijacking offences",15
2060,Theft and related offences,650
2060,Weapons and Explosives Offences,22
2061,"Attempts or threats to murder, assaults, harassments and related offences",138
2061,Burglary and related offences,175
2061,Controlled drug offences,46
2061,Damage to property and to the environment,189
2061,Dangerous or negligent acts,51
2061,"Fraud, deception and related offences",21
2061,Kidnapping and related offences,0
2061,"Offences against government, justice procedures and organisation of crime",16
2061,Public order and other social code offences,120
2061,"Robbery, extortion and hijacking offences",6
2061,Theft and related offences,320
2061,Weapons and Explosives Offences,23
