G-ID,Crime,Total (2004 to 2015)
2071,"Attempts or threats to murder, assaults, harassments and related offences",141
2071,Burglary and related offences,332
2071,Controlled drug offences,39
2071,Damage to property and to the environment,285
2071,Dangerous or negligent acts,166
2071,"Fraud, deception and related offences",55
2071,Kidnapping and related offences,1
2071,"Offences against government, justice procedures and organisation of crime",9
2071,Public order and other social code offences,212
2071,"Robbery, extortion and hijacking offences",19
2071,Theft and related offences,758
2071,Weapons and Explosives Offences,18
2072,"Attempts or threats to murder, assaults, harassments and related offences",948
2072,Burglary and related offences,1658
2072,Controlled drug offences,826
2072,Damage to property and to the environment,2376
2072,Dangerous or negligent acts,910
2072,"Fraud, deception and related offences",686
2072,Kidnapping and related offences,8
2072,"Offences against government, justice procedures and organisation of crime",603
2072,Public order and other social code offences,2018
2072,"Robbery, extortion and hijacking offences",153
2072,Theft and related offences,4632
2072,Weapons and Explosives Offences,168
2073,"Attempts or threats to murder, assaults, harassments and related offences",338
2073,Burglary and related offences,687
2073,Controlled drug offences,144
2073,Damage to property and to the environment,950
2073,Dangerous or negligent acts,240
2073,"Fraud, deception and related offences",74
2073,Kidnapping and related offences,2
2073,"Offences against government, justice procedures and organisation of crime",50
2073,Public order and other social code offences,626
2073,"Robbery, extortion and hijacking offences",55
2073,Theft and related offences,1278
2073,Weapons and Explosives Offences,30
2074,"Attempts or threats to murder, assaults, harassments and related offences",416
2074,Burglary and related offences,953
2074,Controlled drug offences,260
2074,Damage to property and to the environment,989
2074,Dangerous or negligent acts,573
2074,"Fraud, deception and related offences",98
2074,Kidnapping and related offences,2
2074,"Offences against government, justice procedures and organisation of crime",103
2074,Public order and other social code offences,697
2074,"Robbery, extortion and hijacking offences",73
2074,Theft and related offences,2978
2074,Weapons and Explosives Offences,63
2076,"Attempts or threats to murder, assaults, harassments and related offences",41
2076,Burglary and related offences,218
2076,Controlled drug offences,29
2076,Damage to property and to the environment,89
2076,Dangerous or negligent acts,46
2076,"Fraud, deception and related offences",9
2076,Kidnapping and related offences,0
2076,"Offences against government, justice procedures and organisation of crime",8
2076,Public order and other social code offences,47
2076,"Robbery, extortion and hijacking offences",9
2076,Theft and related offences,390
2076,Weapons and Explosives Offences,7
2077,"Attempts or threats to murder, assaults, harassments and related offences",630
2077,Burglary and related offences,1300
2077,Controlled drug offences,578
2077,Damage to property and to the environment,1142
2077,Dangerous or negligent acts,806
2077,"Fraud, deception and related offences",272
2077,Kidnapping and related offences,4
2077,"Offences against government, justice procedures and organisation of crime",118
2077,Public order and other social code offences,1525
2077,"Robbery, extortion and hijacking offences",87
2077,Theft and related offences,3957
2077,Weapons and Explosives Offences,97
2078,"Attempts or threats to murder, assaults, harassments and related offences",1067
2078,Burglary and related offences,2272
2078,Controlled drug offences,984
2078,Damage to property and to the environment,2710
2078,Dangerous or negligent acts,1422
2078,"Fraud, deception and related offences",346
2078,Kidnapping and related offences,7
2078,"Offences against government, justice procedures and organisation of crime",943
2078,Public order and other social code offences,3399
2078,"Robbery, extortion and hijacking offences",188
2078,Theft and related offences,6661
2078,Weapons and Explosives Offences,244
2079,"Attempts or threats to murder, assaults, harassments and related offences",351
2079,Burglary and related offences,746
2079,Controlled drug offences,90
2079,Damage to property and to the environment,804
2079,Dangerous or negligent acts,226
2079,"Fraud, deception and related offences",112
2079,Kidnapping and related offences,6
2079,"Offences against government, justice procedures and organisation of crime",80
2079,Public order and other social code offences,408
2079,"Robbery, extortion and hijacking offences",24
2079,Theft and related offences,1246
2079,Weapons and Explosives Offences,30
2080,"Attempts or threats to murder, assaults, harassments and related offences",47
2080,Burglary and related offences,166
2080,Controlled drug offences,12
2080,Damage to property and to the environment,121
2080,Dangerous or negligent acts,38
2080,"Fraud, deception and related offences",10
2080,Kidnapping and related offences,0
2080,"Offences against government, justice procedures and organisation of crime",5
2080,Public order and other social code offences,39
2080,"Robbery, extortion and hijacking offences",3
2080,Theft and related offences,310
2080,Weapons and Explosives Offences,3
2081,"Attempts or threats to murder, assaults, harassments and related offences",174
2081,Burglary and related offences,690
2081,Controlled drug offences,59
2081,Damage to property and to the environment,556
2081,Dangerous or negligent acts,127
2081,"Fraud, deception and related offences",50
2081,Kidnapping and related offences,1
2081,"Offences against government, justice procedures and organisation of crime",25
2081,Public order and other social code offences,208
2081,"Robbery, extortion and hijacking offences",25
2081,Theft and related offences,1048
2081,Weapons and Explosives Offences,23
2082,"Attempts or threats to murder, assaults, harassments and related offences",93
2082,Burglary and related offences,418
2082,Controlled drug offences,183
2082,Damage to property and to the environment,245
2082,Dangerous or negligent acts,77
2082,"Fraud, deception and related offences",15
2082,Kidnapping and related offences,2
2082,"Offences against government, justice procedures and organisation of crime",20
2082,Public order and other social code offences,161
2082,"Robbery, extortion and hijacking offences",3
2082,Theft and related offences,694
2082,Weapons and Explosives Offences,5
2083,"Attempts or threats to murder, assaults, harassments and related offences",1527
2083,Burglary and related offences,1723
2083,Controlled drug offences,1442
2083,Damage to property and to the environment,3503
2083,Dangerous or negligent acts,1719
2083,"Fraud, deception and related offences",474
2083,Kidnapping and related offences,13
2083,"Offences against government, justice procedures and organisation of crime",1120
