P-ID,BER_ID,BER_Rating,BER_Energy_PI_(kWh/sqm/yr)
4449821,101624716.0,C1,158.71
4459853,113258230.0,C3,208 
4460220,113466973.0,G,514.95
4376657,,D1,
4468043,,G,
4431470,100716430.0,B3,141.54
4463410,105473177.0,D1,
4432975,112850243.0,,
4466368,,Ex,
4421554,112903257.0,F,396.33
4435297,112680749.0,C1,170.21
4466167,113512313.0,G,661.4
4449602,,A2,
4460571,,C2,
4377693,101913390.0,C2,189.89
4243543,,A3,
4462058,108134214.0,B3,147.25
4465960,,B2,120 
4456123,108141292.0,C2,175.64
4458764,108252644.0,E2,359.27
4464850,112412234.0,A2,39.58
4429429,113074413.0,,408.77
4467186,106646466.0,E1,337.39
4458661,,E2,
4467998,,D2,
4468867,,A3,
4434023,113069926.0,C3,
4468574,,Ex,
4460213,101428126.0,D1,232.34
4465005,113236913.0,E1,
4461928,100678309.0,G,712.55
4465376,101280659.0,E1,308.47
4433718,,D2,
4460169,,B3,
4453715,113248363.0,D2,271.02
4467505,101369882.0,B3,128.26
4412870,,F,
4433354,,BE,
4468522,112607627.0,D1,237.79
4455453,113430359.0,C3,202.98
4454131,113550909.0,C3,
4458205,112996293.0,D1,230.53
4443946,,C2,
4461300,113456180.0,D1,249.3
4460702,113307862.0,C1,173.55
4467945,,C2,
4465016,,C3,
4465209,,C1,
4465844,105424824.0,C1,157.49
4447966,113206171.0,D1,227.89
4441491,109517839.0,C2,181.7
4414713,101018448.0,C1,162.04
4412925,112928668.0,D1,
4458741,113424899.0,E2,343.65
4417917,108713033.0,C3,209.65
4468620,108597493.0,C1,153.51
4449847,,B3,
4405491,112712070.0,E1,339.05
4465932,113494900.0,C3,220.22
4384375,,C2,
4465459,113494157.0,B2,122.19
4467592,112429972.0,C2,176.18
4351817,112418017.0,G,517.04
4461752,110763042.0,B3,140.25
4454806,,E2,
4465463,113494140.0,B2,122.58
4454940,113232490.0,C3,52.34
4441095,103743498.0,B1,97.91
4454334,110770245.0,D1,238.09
4422514,,G,
4441950,113144703.0,C1,164.78
4462693,,B3,
4468808,,B3,
4384543,111208104.0,A3,72.1
4457174,,D1,
4459203,108715699.0,C1,168.1
4452771,,E2,
4427460,112876636.0,C1,164.08
4456082,107279234.0,C1,170.38
4467543,113531479.0,C3,215.15
4458570,100787233.0,B3,125.98
4459660,106526918.0,C2,186|
4462510,112984067.0,C2,195.22
