G-ID,"Ann.Mean_Crime_0","Total_Crime_0","Ann.Mean_Crime_1","Total_Crime_1","Ann.Mean_Crime_2","Total_Crime_2","Ann.Mean_Crime_3","Total_Crime_3","Ann.Mean_Crime_4","Total_Crime_4","Ann.Mean_Crime_5","Total_Crime_5","Ann.Mean_Crime_6","Total_Crime_6","Ann.Mean_Crime_7","Total_Crime_7","Ann.Mean_Crime_8","Total_Crime_8","Ann.Mean_Crime_9","Total_Crime_9","Ann.Mean_Crime_10","Total_Crime_10","Ann.Mean_Crime_11","Total_Crime_11"
20148,20.0,240,71.83,862,12.67,152,41.08,493,17.83,214,5.92,71,0.08,1,2.92,35,31.92,383,2.42,29,91.0,1092,1.58,19
20149,21.58,259,41.17,494,10.33,124,37.75,453,10.08,121,4.75,57,0.08,1,1.58,19,23.08,277,3.0,36,82.75,993,2.0,24
20150,98.0,1176,184.33,2212,81.08,973,160.33,1924,68.58,823,22.33,268,0.67,8,12.58,151,188.17,2258,14.17,170,359.75,4317,11.67,140
20151,18.0,216,27.33,328,2.67,32,27.25,327,4.58,55,1.5,18,0.08,1,1.0,12,21.33,256,0.83,10,51.75,621,1.17,14
20153,10.42,125,34.92,419,3.25,39,28.83,346,9.42,113,1.25,15,0.08,1,1.42,17,9.0,108,1.25,15,61.17,734,2.83,34
20154,170.0,2040,245.42,2945,193.67,2324,313.92,3767,126.17,1514,31.33,376,0.5,6,59.67,716,511.42,6137,18.42,221,618.17,7418,19.25,231
20156,17.75,213,59.75,717,10.92,131,41.75,501,15.75,189,3.33,40,0.25,3,3.17,38,30.75,369,1.75,21,70.5,846,1.92,23
20157,4.25,51,25.75,309,3.25,39,10.08,121,5.0,60,1.42,17,0.0,0,0.67,8,4.17,50,0.83,10,20.83,250,0.5,6
20158,3.33,40,7.25,87,1.25,15,4.67,56,2.67,32,0.42,5,0.0,0,0.58,7,2.17,26,0.33,4,10.58,127,0.25,3
20159,28.33,340,53.33,640,10.58,127,62.92,755,14.0,168,4.67,56,0.08,1,2.0,24,50.25,603,0.92,11,76.33,916,3.17,38
20160,68.0,816,130.5,1566,31.83,382,132.42,1589,43.25,519,12.75,153,0.75,9,17.83,214,116.25,1395,11.75,141,188.75,2265,10.25,123
20161,9.58,115,37.0,444,3.33,40,20.67,248,9.08,109,1.08,13,0.08,1,1.08,13,4.92,59,2.17,26,41.58,499,0.92,11
20162,20.75,249,55.42,665,11.83,142,42.42,509,17.08,205,6.58,79,0.0,0,7.25,87,38.33,460,1.42,17,73.92,887,2.83,34
20163,25.08,301,69.67,836,29.0,348,71.92,863,26.5,318,6.75,81,0.42,5,2.58,31,49.42,593,1.83,22,161.67,1940,2.83,34
20164,6.0,72,24.75,297,1.92,23,13.5,162,4.33,52,0.83,10,0.17,2,0.5,6,16.25,195,0.5,6,24.75,297,0.33,4
