P-ID,Lat_(WGS84_GPS),Long_(WGS84_GPS),Address,Eircode,Routing_Key
4418068,53.34939470000001,-6.2558463," 49 dorset square, upr gardiner street, north city centre, dublin 1",,D01
4455234,53.25047929999999,-6.1250008000000005," 49 ennel court, ballybrack, co. dublin",,A96
4431896,53.34878739999999,-6.4365441999999975," 49 esker manor, lucan, county dublin",K78D656,K78
4467916,53.2628846,-6.2183148999999975," 49 grianan fidh, sandyford, dublin 18",,D18
4440619,53.33201,-6.324655700000001," 49 kilworth road, drimnagh,   dublin 12",,D12
4466787,53.7123382,-6.346396299999999," 49 mary street, drogheda, louth",,A92
4447147,53.3188594,-6.320735000000001," 49 moeran road, walkinstown, dublin 12",D12 E0Y0,D12
4428963,53.3120849,-6.4026181," 49 oak rise, clondalkin, dublin 22",D22E268,D22
4465428,53.37414690000001,-6.2225571," 49 oak road, donnycarney, dublin 9 d09 a3v7",D09 A3V7,D09
4467137,52.510533,-7.8928454," 49 oliver plunkett, cashel, tipperary, e25cx70",E25CX70,E25
4462540,53.3768281,-6.276674100000001," 49 riverbank hall, addison park, glasnevin, dublin 11",,D11
4455673,52.22168350000001,-6.9229765," 49 south beach, duncannon, co wexford, y34 c940",Y34 C940,Y34
4463979,53.34240989999999,-7.0653121999999975," 49 st.patricks wood , edenderry, offaly",R45TR52,R45
4445510,53.399361,-6.1479205000000015," 49 sweetman house, longfield road, the coast, baldoyle, dublin 13",,D13
4447132,53.25926550000001,-6.2228474," 49 the cedar, park view, stepaside, dublin 18",D18 A02T,D18
4449683,54.95759449999999,-7.7586841," 49 the elms, letterkenny, donegal",F92K6P0,F92
4459458,52.2528341,-7.0732233," 49 the moorings, maypark lane, waterford city, waterford",,X91
4445340,53.35533829999999,-6.453176," 49 the orchard, lucan village, lucan, county dublin",K78HY70,K78
4449161,53.28039920000001,-6.1928322," 49 the sapphire, the grange, stillorgan, co dublin a94 ef44",A94 EF44,A94
4466337,53.4001823,-7.7155298," 49 toorvalley, moate, westmeath",N37TX08,N37
4468012,53.91497070000001,-6.963799400000001," 49 twin oaks, bailieborough, cavan",A82 H6D5,A82
4352270,53.3185507,-6.3387492," 49 walkinstown park, walkinstown, dublin 12",,D12
4445953,51.8758095,-8.4994502," 49 westside estate, togher, cork",T12 WK2X,T12
4456901,53.3006219,-6.318688099999998," 496 orwell park way, templeogue, dublin 6w, d6w xd63",D6W XD63,D6W
4435349,52.67606039999999,-6.2960153," 4a annagh close, gorey, wexford",Y25R127,Y25
4468805,52.8552456,-7.580615299999999," 4a lower church street, rathdowney, co. laois",,
4459112,53.39526039999999,-6.2440542999999975," 4a magenta crescent, santry,   dublin 9",D09RX62,D09
4461741,53.3124905,-6.2562288," 4b balnagowan, palmerston park, rathmines, dublin 6",D06K710,D06
4442331,53.15752239999999,-6.9109786999999985," 5 & 6 fairview , kildare town, kildare",R51 VY50,R51
4419314,53.2203928,-6.6607485," 5 abbey court, sallins road, naas, co. kildare",W91 PN88,W91
4435568,53.28252610000001,-6.1248542," 5 adelaide terrace, adelaide road, glenageary, co dublin a96y5c8",A96Y5C8,A96
4442101,53.3178451,-6.233619399999999," 5 angler's rest, donnybrook, dublin 4",,D04
4462414,53.37560060000001,-6.405549499999999," 5 annfield crescent, castleknock, dublin 15",D15P2PK,D15
4463086,51.8616099,-8.4130761," 5 applewood, maryborough ridge, maryborough hill, douglas, cork, douglas, cork city",T12 Y29K,T12
4449154,52.5652718,-6.4065401," 5 ard alainn, ballytracey, monamolin, wexford",,Y35
4454356,52.3900216,-6.9438852," 5 ard mhicil, new ross, wexford",Y34P597,Y34
4468734,53.47183199999999,-8.2691053," 5 ashbrook, ballyforan, roscommon",H53K2D6,H53
4337807,53.3534427,-6.2931772000000015," 5 ashford cottges, stoneybatter, dublin 7",D07E8F7,D07
4464279,52.241545,-7.1144595," 5 ashley drive, cherrymount, waterford, waterford city center, waterford city, waterford",X91VW2K,X91
4462285,53.4306899,-7.9447686000000015," 5 assumption rd, athlone, co. westmeath, n37 rc84",N37 RC84,N37
4363008,53.3461,-6.2616964999999984," 5 aston court, bedford row, dublin 2, dublin",D02 H319,D02
4448292,53.274316000000006,-6.2522645999999975," 5 ballintyre square, ballinteer, dublin 16",,D16
4466764,53.27513690000001,-6.2518442," 5 ballintyre woods, ballinteer, dublin 16",D16AH67,D16
4459975,52.66028799999999,-8.637326600000002," 5 bannatyne place, steamboat quay, limerick city",V94 AD61,V94
4450418,53.3293522,-6.261641399999999," 5 bannaville, ranelagh, dublin 6",D06TV20,D06
4422630,53.39218670000001,-6.2285249," 5 beaumont court, beaumont, dublin 9",D09 YW44,D09
4452811,51.8942281,-8.4142493," 5 bed family homes, blackrock villas, blackrock, cork",,A94
4466691,52.1458855,-8.308074399999999," 5 bed semi detached -chestnut close, castlehyde, rosbercon, new ross, co. wexford",,Y34
4414186,53.1330694,-6.0825236," 5 bedroom detached, ashcroft, delgany, co wicklow",,A67
4437369,53.01572909999999,-6.115351," 5 bedroom detached, ballinahinch wood, ashford, co. wicklow",,A67
4318697,53.30846529999999,-6.2695361," 5 bedroom semi- detached home at marianella , rathgar, dublin 6",,D06
4461900,51.8545764,-8.3078413," 5 beechwood drive, cluain ard, cobh, cobh, cork",P24HY63,P24
4456626,53.2780439,-6.4130749000000025," 5 belfry green, citywest, dublin 24",,D24
4422533,53.61330210000001,-6.188281," 5 bellsfield court, lambeecher, balbriggan",,K32
4432250,51.8784053,-8.513931099999999," 5 bishopscourt way, bishopstown, cork, t12w5dt",T12W5DT,T12
4466652,53.3657225,-6.2036389000000005," 5 blackheath gardens, clontarf,   dublin 3",D03A7K3,D03
4459664,53.3486191,-6.2448312," 5 block 12, clarion quay, ifsc, dublin 1, d01 ep95",D01 EP95,D01
4458406,53.2572061,-6.151660099999999," 5 brennanstown court, cabinteely, dublin 18",,D18
4451859,52.53068149999999,-7.1372744999999975," 5 broguemaker hill, maudlin street, thomastown, co kilkenny, r95 p661",R95 P661,R95
4464919,53.3811835,-6.200036099999998," 5 brookwood grove, dublin 5, d05 p7w3",D05 P7W3,D05
4436456,52.49906890000001,-9.371618000000002," 5 bruach na gaile, moyvane, moyvane, kerry",V31 TW66,V31
4443858,53.39349960000001,-6.2052307," 5 bunratty avenue, coolock, dublin 17",D17N403,D17
4429749,53.30905569999999,-6.4060970999999975," 5 bushfield drive, clondalkin, dublin 22",D22 X522,D22
4461605,53.2946253,-6.3876085," 5 cairnwood avenue, tallaght,   dublin 24",,D24
4461410,53.72798710000001,-6.8772794999999975," 5 carrick street, kells, meath",A82H9V6,A82
4428060,53.28242460000001,-6.4315754," 5 carrigmore gardens, citywest, county dublin",D24 W267,D24
4422982,53.27878570000001,-6.102958999999999," 5 carysfort road, dalkey, co.dublin a96 rr68.",A96RR68,A96
4421377,52.7283824,-6.2947956," 5 castle meadow, kilanerin, gorey, co. wexford, y25 a8f2",Y25 A8F2,Y25
4468021,53.3386619,-6.4574497000000015," 5 castlegate chase, adamstown, lucan, co. dublin",K78W659,K78
4464121,53.3779273,-6.3763519," 5 castleknock vale, castleknock, dublin 15",,D15
4462548,53.3846669,-6.3765389," 5 church avenue, blanchardstown, dublin 15",,D15
4454973,53.3105369,-6.615592200000001," 5 churchfield, rathcoffey, co. kildare, w91 n44x",W91 N44X,W91
4462033,53.4062259,-6.1717192," 5 churchwell square, balgriffin, dublin 13",D11T322,D11
4398125,51.88016260000001,-8.4916951," 5 clashduv place, glasheen, cork city",T12 Y7E5,T12
4458376,52.63189999999999,-8.73298," 5 cois carraig, clarina, limerick",V94 V9RP,V94
4461357,53.3829846,-6.3922924000000005," 5 coolmine mews, clonsilla, dublin 15",D15V25E,D15
4449703,53.3012708,-6.267103," 5 crannagh hall, landscape road, newtown little, dublin 14",,D14
4419138,52.6090027,-6.3035942," 5 creamery gardens, ballycanew, gorey, co. wexford",,Y25
4321006,52.76386249999999,-6.2350484," 5 croghan view, coolgreany, wexford",Y25D1W5,Y25
4450687,51.9140226,-8.4701781," 5 crosses court, spring lane, blackpool, cork",T23ERP2,T23
4326625,53.3099313,-6.2599735," 5 dartry park, dartry, dublin 6, d06 k526",D06 K526,D06
4468633,53.3006359,-6.190258600000001," 5 dawson court, cross avenue, blackrock, co dublin a94 yx32",A94 YX32,A94
4449449,52.6731345,-8.662780499999998," 5 derravarragh road, caherdavin, co. limerick",,V94
4422554,53.3999589,-6.1815845000000005," 5 doonbeg house, clare village, clarehall, d. 13, clarehall,   dublin 13",D17 EE71,D17
4457560,53.2780081,-8.9749305," 5 durabhan bheag, roscam, galway",H91K6HY,H91
4464707,53.346301,-6.4160982," 5 earlsfort court, lucan, dublin",K78AX76,K78
4459284,53.104806,-6.8558461," 5 eascanrath brook , suncroft, kildare",,R51
4458108,52.7964032,-6.145110499999999," 5 fastnet courtyard marina village, arklow, wicklow",Y14EF14,Y14
4444794,53.6167223,-6.210356," 5 flemington park, balbriggan, co. dublin k32 dx49",K32 DX49,K32
4461856,53.3118479,-6.3003563000000025," 5 fortfield road, terenure, dublin 6w",D6W VH66,D6W
4448135,53.3411447,-6.4237562000000015," 5 foxborough road, lucan, dublin",K78AX84,K78
4443500,53.3429414,-6.2390153," 5 gallery quay, block 14, grand canal dk, dublin 2",,D02
4450702,51.8539027,-8.320372299999999," 5 gardiners walk, rushbrooke links, cobh, cork",P24 EA07,P24
4467448,52.3766688,-9.3025582," 5 gleann cryle, abbeyfeale, limerick",V94VWF6,V94
4456416,53.09103289999999,-6.1148948," 5 glenbrook meadows, newtownmountkennedy, wicklow",A63 DC60,A63
4456460,53.0908738,-6.1137688999999975," 5 glenbrook view, newtownmountkennedy, wicklow",A63WX28,A63
4463221,53.2714534,-6.2529202," 5 grangefield, ballinteer, dublin 16, d16f635",D16F635,D16
4456196,52.3465826,-6.4744737," 5 grattan terrace, wexford town, y35 f2y6",Y35 F2Y6,Y35
4462686,52.6583015,-8.610797," 5 greenhill road, garryowen, limerick city",V94THP6,V94
4467057,53.3400309,-6.439350999999999," 5 griffeen glen wood, lucan, co. dublin k78 xv67",K78 XV67,K78
4460585,53.3762224,-6.3579713," 5 hadleigh green, castleknock, dublin 15",,D15
4459717,51.850868,-8.2915388," 5 harbour terrace, cobh, cork",,P24
4463258,53.29558460000001,-6.1421858," 5 harbour view, crofton road, dun laoghaire, county dublin",A96TR74,A96
4406201,53.2687233,-6.2592614," 5 harolds grange road, rathfarnham, dublin 16",D16 F850,D16
4465847,53.94344889999999,-8.0932412," 5 hartley hall, carrick-on-shannon, leitrim",N41 Y586,N41
