Property ID,Latitude,Longitude,Latitude_rad,Longitude_rad,Dist_Nearest_Food_Amenity_to Property,Food_Amenity_id,Nearest_Food__Amenity_to_Property,Number_Food__Amenity_to_Property,Dist_Nearest_Outdoor_Amenity_to_Property,Outdoor_Amenity_id,Nearest_Outdoor_Amenity_to_Property,Number_Outdoor__Amenity_to_Property,Dist_Nearest_Shopping_Amenity_to_Property,Shopping_Amenity_id,Nearest_Shopping_Amenity_to_Property,Number_Shopping_Amenity_to_Property,Dist_Nearest_Cultural_Amenity_to_Property,Culture_Amenity_id,Nearest_Cultural_Amenity_to_Property,Number_culture_Amenity_to_Property,Dist_Nearest_Indoor_Amenity_to_Property,Indoor_Amenity_id,Nearest_Indoor_Amenity_to_Property,Number_indoor_Amenity_to_Property
4450413,54.2912274,-8.432874199999999,0.9475606730789604,-0.14718142019648278,2.2133249066884697,Act3333,IT Sligo Farmers Market,32.0,2.452099876341163,Act5362,Seatrails,19.0,3.2774999949059254,Act2873,Gourmet Parlour,8.0,2.2133249066884697,Act4581,Native Speaker,12.0,2.121940467283341,Act1801,Culture and Heritage Tours Ireland,12.0
4453602,55.02989960000001,-7.778769999999999,0.9604529350619107,-0.1357651482553593,8.33360923831547,Act6512,The Traveller's Inn,0.0,3.233774989325633,Act2896,Grassroutes,1.0,9.128646122318353,Act3951,Letterkenny Shopping Centre,0.0,8.322270154643174,Act7059,Wild Garlic Table Cookery School,0.0,6.7674901131053975,Act3803,Kokodesigns,0.0
4458853,52.86479689999999,-8.1893696,0.9226647643030913,-0.142931463182731,0.6722343182717644,Act4892,Pepe's Restaurant,7.0,0.693566173746709,Act4595,Nenagh Walking Tours,3.0,5.349374641357623,Act3420,John Hanly and Co. Ltd. Factory Shop,0.0,0.7407717761046956,Act4652,North Tipperary Genealogy Centre,2.0,0.5933097025635998,Act4590,Nenagh Castle,1.0
4444065,54.291578099999995,-8.3932403,0.9475667939486472,-0.14648967814607664,4.493199905717714,Act3333,IT Sligo Farmers Market,1.0,4.149412784077294,Act1567,Colgagh Lough,5.0,5.518656432877469,Act2873,Gourmet Parlour,0.0,4.493199905717714,Act4581,Native Speaker,3.0,4.15050638582175,Act3205,Innisfree Coaches - Guided Scenic Drive Around Sligo,3.0
4465083,53.26059859999999,-6.1686108,0.9295728071530821,-0.10766256873408142,1.818615935365418,Act3939,Leopardstown Farmers Market,43.0,1.4337610592377454,Act1166,Carrickmines Golf Club,15.0,3.0049064838814847,Act3725,Kilternan Country Market,7.0,1.6817222543143229,Act3788,Knockcree Gardens,17.0,0.8087351858762296,Act3271,Irish Golf Classics,13.0
4465978,52.619398600000004,-7.5222099,0.9183817559892948,-0.1312873297811134,11.847177924210907,Act1075,Callan Farmers Market,0.0,4.3330847157930314,Act2846,Grange - Crag Loop,1.0,11.816857389781168,Act3607,Kilkenny Crystal,0.0,0.0,Act2443,Famine Warhouse 1848,1.0,11.60426462796264,Act6435,The Slieveardagh Experience - Guided Mini Bus Tours,0.0
4452338,53.2651471,-9.075295800000001,0.9296521934541093,-0.15839379230241282,0.4412390896087452,Act4705,O'Connor's Famous Pub,75.0,0.31602382645004845,Act1346,Charter Ireland,41.0,1.1071017895588833,Act3024,Health and Herbs,20.0,0.36489225060748076,Act2668,Galway Cultural Institute,22.0,0.43862968601480484,Act5272,Salthill  Beach ,39.0
4462773,52.7143937,-6.7026004,0.9200397332575561,-0.11698244542548894,4.369080089520791,Act5833,The Ardattin Inn,2.0,3.49620366225821,Act5578,South Leinster Way Kildavin To Borris,1.0,3.5188977156349774,Act4193,Malone's Fruit Farm,2.0,2.676595956954287,Act133,Altamont Gardens,3.0,8.728023053444915,Act6557,The Wolseley Spa at the Mount Wolseley Hotel,0.0
4463526,52.7309772,-6.9826996,0.9203291699340604,-0.12187109869769104,0.756902256166153,Act6224,The Lord Bagenal Restaurant,2.0,1.3846818887646264,Act1484,Clogrennan Wood Loop,2.0,1.3438829546715032,Act226,Arboretum Inspirational Gardens,1.0,0.2232831001090149,Act3906,Leighlinbridge - Garden Village,4.0,11.969881152013214,Act2881,Graiguecullen Swimming Pool,0.0
4448734,51.8099068,-8.285371600000001,0.9042534588113993,-0.14460701417123065,3.6307597946944994,Act6676,Trabolgan Holiday Village,4.0,1.2352515088904665,Act5276,Salve Marine,12.0,7.343058651465403,Act3009,Hassett's Bakery,0.0,0.4411172314468692,Act1082,Camden Fort Meagher,7.0,4.4377541066830055,Act5460,Sirius Arts Centre,2.0
4448870,53.37161589999999,-6.403077099999999,0.9315104245647564,-0.11175477765405019,2.265220825640679,Act3960,Liffey Valley Farmers Market,10.0,0.8235012990542587,Act1243,Castleknock Golf Club,14.0,2.233674506390546,Act3961,Liffey Valley Shopping Centre,2.0,2.1839510865450813,Act404,Baking Academy of Ireland,4.0,0.9069624686669325,Act5382,Shamrock Taxi Tours,9.0
4461845,52.455270999999996,-9.662504,0.9155171889758984,-0.16864250878712217,1.799887444395246,Act4647,North Kerry Museum,1.0,4.239496880715737,Act463,Ballybunion South Beach ,2.0,1.799887444395246,Act4647,North Kerry Museum,1.0,1.6311842861894394,Act5074,Rattoo Round Tower,1.0,5.262447893176215,Act3510,Keltic Irish Tours,0.0
4463236,52.62001000000001,-8.76169,0.9183924269323416,-0.15292033853906198,5.691246883185132,Act3979,Limerick Racecourse,0.0,2.02505257110633,Act1806,Curragh Chase - Curragh Trail,3.0,6.4257441910405095,Act4122,Lucy Erridge,0.0,3.2301192645733754,Act1178,Carrigogunnell Castle,2.0,5.781456533572982,Act1913,Desmond Castle Adare,0.0
