Property ID,Latitude,Longitude,Latitude_rad,Longitude_rad,Dist_Nearest_Food_Amenity_to_Property,Food_Amenity_id,Nearest_Food__Amenity_to_Property,Number_Food__Amenity_to_Property,Dist_Nearest_Outdoor_Amenity_to_Property,Outdoor_Amenity_id,Nearest_Outdoor_Amenity_to_Property,Number_Outdoor__Amenity_to_Property,Dist_Nearest_Shopping_Amenity_to_Property,Shopping_Amenity_id,Nearest_Shopping_Amenity_to_property,Number_Shopping_Amenity_to_Property,Dist_Nearest_Culture_Amenity_to_Property,Culture_Amenity_id,Nearest_Culture_Amenity_to_property,Number_Culture_Amenity_to_Property,Dist_Nearest_Indoor_Amenity_to_Property,Indoor_Amenity_id,Nearest_Indoor_Amenity_to_property,Number_Indoor_Amenity_to_Property
4458786,52.7923697,-6.4599019,0.921400671,-0.112746558,0.835545772,Act8638,"O'Connor's Bar & Lounge, Tinahely",1,0.796796925,Act4201,Mangan's Loop,1,7.449345937,Act7062,Wild Irish Crafts,0,8.713493134,Act1513,Clonmore Castle,0,3.945793096,Act6302,The Orchard Centre,1
4462256,52.4902848,-8.0504692,0.916128295,-0.140507194,7.171339799,Act3671,Killenure Castle,0,4.762376925,Act560,Bansha Wood,2,10.34682294,Act4199,Mandy Parslow Studio Potter,0,5.513295003,Act307,Athassel Abbey,0,6.70399393,Act4224,Marl Bog,0
4433895,52.4591192,-9.0725814,0.915584353,-0.158346417,17.13833074,Act4671,O’Regan’s Restaurant,0,1.347268887,Act2908,Great Southern Trail ,3,22.44467743,Act739,Black Abbey Crafts,0,8.674776338,Act2815,Glenquin Castle,0,1.25825286,Act1915,Desmond Hall,2
3434925,52.2413722,-6.3555239,0.911783951,-0.110924818,4.193111412,Act7028,Wild & Native Seafood Restaurant,3,2.334130518,Act5654,St. Helen's Bay Golf Resort,3,13.06148719,Act4236,Martin Doyle Goldsmith,0,5.875675255,Act5762,Tacumshane Windmill,0,4.38585703,Act6413,The SeaSpa at Kelly's Resort Hotel,2
4415551,51.8416212,-8.8818965,0.90480698,-0.155018338,8.546222437,Act4147,Macroom Country Market,0,8.284070929,Act3702,Kilmichael Pitch And Putt Club,0,14.6644272,Act2942,Grey Heron West Cork,0,0.08767246,Act3158,Independence Museum Kilmurry,1,10.7438555,Act687,Beyond the Glass Adventure Tours,0
4416261,53.557825,-6.7713138,0.934760386,-0.11818172,1.286759736,Act2595,Franzinis,2,1.129024465,Act3781,Knightsbrook Golf Club,4,12.13351985,Act4586,Navan Shopping Centre,0,1.253161063,Act6712,Trim Castle,3,1.129024465,Act6385,"The River Spa at Knightsbrook Hotel, Spa and Golf Resort",5
4425575,51.9080966,-8.1736014,0.905967194,-0.142656256,0.626704785,Act2508,Finíns,4,0.95524865,Act5763,Tailor-Made Golf Tours,2,8.343291515,Act5848,The Ballymaloe Shop and Café,0,6.296353541,Act1527,Cloyne Round Tower,0,7.583886259,Act6447,The Spa at Castlemartyr Resort,0
4438862,52.2636983,-7.1292198,0.912173615,-0.124428359,0.657563877,Act1354,Chez K's Restaurant,32,0.803519846,Act6890,Waterford Golf Club,11,0.808150253,Act138,Altitude Cycle & Outdoor Store,5,0.878200605,Act2713,Garter Lane Art Gallery,27,0.971873186,Act386,Axe Junkies,12
4458293,51.892431,-7.9424569,0.905693778,-0.138622024,6.552124912,Act6296,The Old Thatch Bar,0,7.605715128,Act1441,Claycastle Pitch & Putt Club,0,7.334207597,Act5693,Stephen Pearce Pottery,0,6.811699112,Act509,Ballymaloe Cookery School,0,4.910651802,Act2712,Garryvoe Beach,1
4438610,52.6932116,-7.4190348,0.919670036,-0.129486585,11.54682883,Act5322,Scott's Bar and Gulliver's Restaurant,0,4.77164352,Act2602,Freshford Loop,1,11.99397756,Act6073,The Gourmet Store,0,3.348801037,Act504,Ballylarkin Abbey Freshford - Ballylarkin Church,1,9.556500395,Act5496,Skydive Ireland,0
4432901,52.1662502,-7.1810731,0.910472824,-0.125333369,1.966800156,Act6518,The Vee Bistro,3,1.005470575,Act4471,Muddy Boots,17,11.27944365,Act138,Altitude Cycle & Outdoor Store,0,1.019191211,Act6881,Waterford Camino Tours,6,2.141440651,Act2961,Guillamene and Newtown Cove - Green Coast Award 2019,6
