School,FullAddress,Latitude,Longitude
"FCJ Secondary School, Bunclody, Co Wexford","Bunclody, Ballinapark, Enniscorthy, Co. Wexford, Ireland",52.6563139,-6.6463816
"Ratoath College, Jamestown, Co Meath","Jamestown, Ratoath, Co. Meath, Ireland",53.499422,-6.4575933
"Meanscoil San Nioclas, Rinn O gCuanach, Co Waterford (G)","Headquarters D Company, Youghal Rd, Ringaphuca, Dungarvan, Co. Waterford, X35 RF24, Ireland",52.0477152,-7.5755797
"Colaiste Ghobnatan, Ballymakeera, Co Cork (G)","Flats, Ballymakeery, Co. Cork, P12 X239, Ireland",51.9392118,-9.1558049
"St Patrick''s Classical School, Navan, Co Meath","1 Spireview Lawns, Johnstown, Navan, Co. Meath, C15 H56K, Ireland",53.6530425,-6.6983244
"Our Lady''s Secondary School, Belmullet, Co Mayo","Belmullet, Co. Mayo, Ireland",54.2135644,-9.9824053
"St Mary''s Secondary School, New Ross, Co Wexford","Irishtown, Morrissysland, New Ross, Co. Wexford, Ireland",52.3995627,-6.9307021
"St Louis High School, Rathmines, Dublin 6","6 Charleville Rd, Rathmines, Dublin, Ireland",53.3215157,-6.2705757
"Loreto Secondary School, Balbriggan, Co Dublin","Brick Lane, Tankardstown, Balbriggan, Co. Dublin, Ireland",53.6125785,-6.1858034
"St Flannan''s College, Ennis, Co Clare","Clonroad More, Ennis, Co. Clare, Ireland",52.8336549,-8.9835507
"Sacred Heart Secondary School, Tullamore, Co Offaly","Daingean Rd, Tullamore, Co. Offaly, Ireland",53.2766602,-7.4851351
"Mercy College, Woodford, Co Galway","Woodford, Bolag, Woodford, Co. Galway, Ireland",53.0488882,-8.3971015
"Scoil Dara, Kilcock, Co Kildare","Church St, Kilcock, Co. Kildare, Ireland",53.4029847,-6.6704329
"Colaiste Daibheid, An t-Ardan Theas, Cork","Coláiste Daibhéid, South Terrace, Ballintemple, Cork, Ireland",51.8943,-8.4678638
"Loreto Secondary School, Clonmel, Co Tipperary","Loreto Secondary School, Coleville Rd, Raheen, Clonmel, Co. Tipperary, Ireland",52.3503221,-7.6941296
"St Patrick''s College, Cavan, ","Cullies, Co. Cavan, Ireland",54.0087921,-7.3532294
"Colaiste Einde, Threadneedle Road, Galway","Threadneedle Rd, Salthill, Co. Galway, Ireland",53.2655875,-9.0896355
"Leixlip Community School, Leixlip, Co Kildare","River Forest, Newtown, Leixlip, Co. Kildare, Ireland",53.3728402,-6.4983019
"Confey Community College, Leixlip, Co Kildare","River Forest, Newtown, Leixlip, Co. Kildare, Ireland",53.3728402,-6.4983019
"Ardscoil Ui Urmoltaigh, Bandon, Co Cork","Allen Square, Coolfadda, Bandon, Co. Cork, Ireland",51.746973,-8.7442525
"Oatlands College, Stillorgan, Co Dublin","Mount Merrion, Dublin, Ireland",53.2926895,-6.2026421
"Presentation Secondary School, Loughboy, Kilkenny","Loughboy, Kilkenny, R95 RR90, Ireland",52.638977,-7.2472105
"Community College, Dunshaughlin, Co Meath","Drumree Rd, Knocks, Dunshaughlin, Co. Meath, A85 TY22, Ireland",53.5138304,-6.5497252
"St Louis Secondary School, Carrickmacross, Co Monaghan","1 R179, Drummond Etra, Co. Monaghan, Ireland",53.9733154,-6.7184699
"St Mary''s Knockbeg College, Knockbeg, Co Carlow","Knockbeg, Carlow, Ireland",52.867315,-6.9377338
"Stratford College, Rathgar, Dublin 6","1 Zion Rd, Rathfarnham, Dublin 6, D06 T9V3, Ireland",53.3097011,-6.2743134
"Colaiste Bride, Enniscorthy, Co Wexford","The Shannon, Templeshannon, Enniscorthy, Co. Wexford, Ireland",52.5027873,-6.5589273
"Loreto Secondary School, Bray, Co Wicklow","Loreto Secondary School, Vevay Rd, Bray, Co. Wicklow, Ireland",53.1968412,-6.1065022
"Sligo Grammar School, The Mall, Sligo (B)","The Mall, Rathquarter, Sligo, Ireland",54.2729652,-8.463732
"Presentation College, Tuam, Co Galway","Currylea, Tuam, Co. Galway, H54 V260, Ireland",53.5179802,-8.8490486
"Boherbue Comprehensive School, Mallow, Co Cork","Boherbue, Derrynatubbrid, Mallow, Co. Cork, Ireland",52.1594364,-9.0618548
"St Mary''s Secondary School, Newport, Co Tipperary","Church Rd, Newport, Tipperary, Ireland",52.7108055,-8.4117531
"Sacred Heart School, Westport, Co Mayo","Castlebar Rd, Carrowbeg, Westport, Co. Mayo, Ireland",53.801327,-9.5168068
"Presentation Secondary School, Tralee, Co Kerry","Cloonbeg, Cloon Beg, Tralee, Co. Kerry, Ireland",52.2660639,-9.7000182
"CBS, Mitchelstown, Co Cork","Brigown, Mitchelstown, Co. Cork, Ireland",52.2637727,-8.2666108
"Our Lady''s Secondary School, Castleblayney, Co Monaghan","Castleblayney, Moraghy, Castleblayney, Co. Monaghan, Ireland",54.1192092,-6.7432266
"St Mary''s Secondary School, Ballina, Co Mayo","Convent Hill, Ballina, Co. Mayo, Ireland",54.1158044,-9.1628981
"Pobalscoil Ghaoth Dobhair, Letterkenny, Co Donegal (G)","Knocknamona, Letterkenny, Co. Donegal, Ireland",54.9627237,-7.7241272
"St Raphaela''s Secondary School, Stillorgan, Co Dublin","St Raphaela's Rd, Kilmacud, Dublin, Ireland",53.2830554,-6.2056634
"St Paul''s Secondary School, Oughterard, Co Galway","Carrowmanagh, Co. Galway, Ireland",53.4302059,-9.3291638
"Midleton College, Midleton, Co Cork (B)","Connolly St, Midleton, Co. Cork, Ireland",51.9148487,-8.1711509
"Bandon Grammar School, Bandon, Co Cork (B)","Clancool More, Bandon, Co. Cork, Ireland",51.7336025,-8.7493985
"St David''s Secondary School, Greystones, Co Wicklow","Kimberley Rd, Rathdown Lower, Greystones, Co. Wicklow, Ireland",53.1467248,-6.0609531
