,School,FullAddress,Latitude,Longitude
3016,"Gaelscoil Shliabh Rua, Bóthar Bhaile Uí Ógáin, BÁC 18","Ballyogan Rd, Ballyogan, Dublin, Ireland",53.2563314,-6.1886329
3017,"Lucan Community National School, Balgaddy Road, Lucan","Griffeen Ave, Balgaddy, Lucan, Co. Dublin, Ireland",53.3402091,-6.419692899999999
3018,"St Brigid's Kildare Town Primary School, Grey Abbey Road, Kildare Town","Grey Abbey Rd, Kildare, Ireland",53.15461010000001,-6.913454
3019,"Gaelscoil Mhic Aodha, Bóthar Mhelitta, Baile Chill Dara","Melitta Rd, Kildare, Co. Kildare, R51 CX64, Ireland",53.1587231,-6.9007011
3020,"ST. JAMES'S PRIMARY SCHOOL, Basin Lane, James' Street","Basin View, Ushers, Dublin, Ireland",53.3403792,-6.2898805
3021,"Canal Way Educate Together National School, Basin Street Upper, Dublin 8","Basin Lane, Saint Catherine's, Dublin 8, D08 R125, Ireland",53.3399089,-6.2894536
3022,"Scoil Néifinn, Keenagh, Ballina","Unnamed Road, Keenagh Beg, Co. Mayo, Ireland",54.0449147,-9.4705031
3023,"Scoil Mhuire, Carrick-on-Shannon, Co. Leitrim","Dublin Rd, Townparks, Carrick-On-Shannon, Co. Leitrim, Ireland",53.9457051,-8.0890674
3024,"Scoil Mhichil, Cahermurphy, Kilmihil","Kilmihill, Kilrush, Co. Clare, Ireland",52.6376305,-9.4829102
3025,"Scoil Naomh Eltin, Kinsale, Co Cork","Scoil Naomh Eltin, Town-Plots, Kinsale, Co. Cork, Ireland",51.7050609,-8.528906
3026,"St Mary's Primary School, Dorset Street Upper, Dublin 7","Paradise Pl, Phibsborough, Dublin 7, Ireland",53.3547902,-6.2673453
3027,"St Laurence's National School, Brookstone Road, Baldoyle","Brookstone Road, Baldoyle, Dublin 13, Ireland",53.3965435,-6.1329645
3028,"Scoil Chroi Naofa, Rochfortbridge, Co. Westmeath","Heathfield, Castlelost, Co. Westmeath, Ireland",53.4150309,-7.303351699999999
