id,formatted_address,lat,lng,county,address,dateofsale,euro_price
226,"Apartment 31, Compass Court North, Ascaill Bhaile Pheiléid, Royal Canal Park, Ashtown, Dublin 15, Ireland",53.3763643,-6.3176594,Dublin,"35 COMPASS COURT NORTH, ROYAL CANAL PARK, RATOATH ROAD",03/11/2020,265000.00
281,"43 Beechwood Ave Lower, Ranelagh, Dublin 6, D06 FF25, Ireland",53.3227173,-6.2546512,Dublin,"43 LOWER BEECHWOOD AVE, RANELAGH, DUBLIN 6",03/11/2020,840000.00
280,"47 Cahirdown Wood, Dromin Lower, Listowel, Co. Kerry, V31 A254, Ireland",52.4500805,-9.4601913,Kerry,"47 THE WOODS, CAHIRDOWN, LISTOWEL",03/11/2020,152000.00
320600,"47 Cahirdown Wood, Dromin Lower, Listowel, Co. Kerry, V31 A254, Ireland",52.4500805,-9.4601913,Kerry,"47 THE WOODS, CAHIRDOWN, LISTOWEL",03/11/2020,152000.00
207,"5 Beaumont Cottages, Newcastle Road, Lucan, Co. Dublin, Ireland",53.3502053,-6.4495748,Dublin,"5 BEAUMONT COTTAGES, NEWCASTLE ROAD, LUCAN",03/11/2020,580000.00
253,"50 Lorcan Ave, Whitehall, Dublin 9, D09 Y902, Ireland",53.3904442,-6.237391,Dublin,"50 LORCAN AVE, SANTRY, DUBLIN 9",03/11/2020,392500.00
223,"6 Woodview Heights, Castlefarm, Dunboyne, Co. Meath, A86 TH73, Ireland",53.4152476,-6.4709069,Meath,"6 WOODVIEW HEIGHTS, DUNBOYNE, MEATH",03/11/2020,270000.00
277,"Knock Rd, Co. Mayo, Ireland",53.7335959,-8.9869939,Mayo,"81 KNOCK RD, CLAREMORRIS, MAYO",03/11/2020,71000.00
233,"Ballyvullaun, Co. Galway, Ireland",53.1957167,-8.9214988,Galway,"BALLYVULLAUN, BALLINDERREEN, KILCOLGAN",03/11/2020,30000.00
212,"Burgatia, Co. Cork, Ireland",51.5777684,-9.0153664,Cork,"BURGATIA, ROSSCARBEY, CORK",03/11/2020,250000.00
209,"Coppins, Rochestown Rd, Douglas, Cork, Ireland",51.8766991,-8.4312863,Cork,"COPPINS, ROCHESTOWN RD, CORK",03/11/2020,542500.00
210,"Corlummin, Irishtown, Co. Mayo, Ireland",53.9758647,-9.1488241,Mayo,"CORLUMMIN, FOXFORD, MAYO",03/11/2020,460000.00
214,"Cragbeg, Co. Limerick, Ireland",52.6218656,-8.7505075,Limerick,"CRAG BEG, CLARINA, CO LIMERICK",03/11/2020,32000.00
269,"Crofton Rd, Dún Laoghaire, Dublin, Ireland",53.2946638,-6.1363297,Dublin,"HARBOUR VIEW, WOODSIDE RD, SANDYFORD DUBLIN 18",03/11/2020,400000.00
271,"Killarriv, Co. Galway, Ireland",53.2742909,-8.6237939,Galway,"KILLARRIVE, KILTULLAGH, ATHENRY",03/11/2020,271000.00
264,"Munny House, Money, Gorey, Co. Wexford, Ireland",52.6921048,-6.486634,Wexford,"MUNNY, GOREY, CO WEXFORD",03/11/2020,385000.00
263,"Danescastle, Co. Wexford, Ireland",52.2385344,-6.7321656,Wexford,"OLD SCHOOL HOUSE, DANESCASTLE, CARRIG ON BANNOW",03/11/2020,180000.00
262,"Ballylarkin, Co. Wexford, Ireland",52.7533769,-6.2246901,Wexford,"PINECREST, BALLYLARKIN, COOLGREANY",03/11/2020,227000.00
338,"7 Drumcrest, Drum, Knock, Co. Mayo, F12 NX32, Ireland",53.7942657,-8.9087142,Mayo,"7 DRUMCREST, KNOCK, MAYO",02/11/2020,25000.00
306,"Graham's Terrace, Church St, Kilgarvan, Cobh, Co. Cork, Ireland",51.8514579,-8.2904267,Cork,"1 GRAHAMS TERRACE, CHURCH ST, COBH",02/11/2020,290000.00
